id,price,log_price,price_per_person,room_type,property_type,accommodates,bedrooms,beds,bathrooms,n_reviews,review_scores_rating,host_is_superhost,availability_365,minimum_nights,period,municipality,cod_istat,dist_ski,dist_lake,dist_park,dist_station,dist_bus,dist_center,dist_supermarket,dist_restaurant,dist_bar,dist_pharmacy,dist_castle,dist_museum,lat,long
2428969,144.0,4.969813299576001,36.0,Entire home/apt,Entire condo,4,1.0,4.0,1.0,30,5.0,1.0,242,7,december,San Lorenzo Dorsino,22231,10184.026613915612,5096.903924328568,1001.9706210305765,16779.88066014885,277.5730541828074,4747.602886787363,3575.552496756428,1512.8995028089357,764.6523850246282,1521.5745893619896,3794.2648590967715,3682.055857038961,46.06653,10.896
541153,60.0,4.0943445622221,15.0,Entire home/apt,Entire serviced apartment,4,1.0,1.0,1.0,12,4.73,0.0,7,5,december,San Giovanni di Fassa-Sèn Jan,22250,98.26322924144227,25570.6496529729,4328.708656982668,39877.72715300414,191.30642159726364,7482.206226307868,4512.980291178028,105.49893874309217,110.52959299184458,4744.186242867203,30420.259454597144,4895.569885507954,46.40362,11.61082
587230,89.0,4.48863636973214,22.25,Entire home/apt,Entire rental unit,4,1.0,2.0,1.0,148,4.43,0.0,0,2,december,Riva del Garda,22153,14078.415662620197,1695.5812863936992,1237.1541447207026,1647.7329762951674,99.85927679397959,1465.9245954177716,1128.2997443715226,176.5912246316161,895.7553773972065,854.1851694086322,1612.2205964346676,1737.9932048119529,45.89935,10.83322
661736,172.0,5.147494476813453,28.666666666666668,Entire home/apt,Entire rental unit,6,2.0,3.0,1.0,3,4.0,0.0,7,7,december,Canazei,22039,811.2552101500073,35353.65527416576,1137.0194840410247,50624.55264875133,161.35386418701216,2406.760149175054,863.6295752474457,662.3806253676792,256.5883911153832,1271.0891805596204,31495.421690381583,2904.747947844515,46.46782,11.77946
700213,81.0,4.394449154672439,16.2,Entire home/apt,Entire bed and breakfast,5,2.0,3.0,1.0,132,4.9,1.0,215,2,december,Trento,22205,1357.6607443071769,6740.825973462991,66.35348354909131,822.550877329513,51.62864924702892,1691.5563992754317,88.73537553432544,183.44171933600498,36.46697817099513,47.77901356487818,628.3198159806758,819.8852911745892,46.0651,11.13195
726907,141.0,4.948759890378168,35.25,Entire home/apt,Entire rental unit,4,1.0,4.0,1.0,59,4.83,1.0,42,7,december,San Giovanni di Fassa-Sèn Jan,22250,431.0546316001527,28207.12104911904,3023.2809387259776,43126.55333078755,104.4612800649005,2092.6119218109416,327.1508345042445,265.2803404167406,250.92322680662681,281.2815469867004,29433.356228490044,254.3410938958054,46.4224696,11.6765279
2431711,579.0,6.361302477572996,115.8,Entire home/apt,Entire rental unit,5,2.0,4.0,1.0,44,4.45,0.0,305,2,december,Pinzolo,22143,2398.32787308071,14177.852676984503,327.5330491768234,13588.388307102177,170.75614092489965,3401.737235984863,191.77373125044193,2066.081586439537,198.20935120996916,3848.6253158753007,13409.956685846508,3777.2577369208975,46.19172,10.78596
2434951,90.0,4.499809670330265,22.5,Entire home/apt,Entire rental unit,4,1.0,4.0,1.0,88,4.84,1.0,251,1,december,Comano Terme,22228,10817.089744400575,6858.528889702645,100.35023051116828,17069.48956513791,108.74875156974213,1277.5594576719982,42.51334212124083,151.84933241865411,178.48983901820168,88.95363564598856,2154.4767374324206,2302.902990868781,46.03607,10.873
2436187,81.0,4.394449154672439,16.2,Entire home/apt,Entire home,5,2.0,3.0,1.0,50,4.76,1.0,139,2,december,Commezzadura,22064,622.5474541545917,10030.10893872802,2636.219260574107,2437.1765012979445,322.6901078636701,830.3473952943338,424.23222671870474,97.27282431606959,630.3970878856845,2121.685837681222,8302.45052175164,5353.418746650696,46.31934,10.844283
2448852,69.0,4.23410650459726,11.5,Entire home/apt,Entire rental unit,6,2.0,6.0,1.0,37,4.86,0.0,353,3,december,Comano Terme,22228,11314.59518947016,5580.138103664933,1071.1914081222233,17208.452105323777,50.438675765414175,2478.3573216898,945.4860918787296,1057.4316301250167,1324.03087391911,1435.4389722487956,2857.0844829315515,3462.463083168063,46.03469,10.89094
