id,price,log_price,price_per_person,room_type,accommodates,n_reviews,municipality,cod_istat,dist_ski,dist_lake,dist_park,dist_station,dist_bus,dist_center,dist_supermarket,dist_restaurant,dist_bar,dist_pharmacy,dist_castle,dist_museum,lat,long
1474546672172940364,100.0,4.605170185988092,16.666666666666668,Entire home/apt,6,2,Predazzo,22147,1774.1179639957033,296.9354677034413,425.8975711097634,24350.252904888468,245.57320351879926,2905.8672003723204,349.7594578838856,225.8844185251691,226.7089801094288,214.84424377030282,22948.59409639074,143.4645435337294,46.311930255964086,11.60537996997529
1474582251338459500,92.0,4.5217885770490405,15.333333333333334,Entire home/apt,6,0,Arco,22006,15012.860788735044,281.3513313115011,146.59363083123384,5295.07111200067,201.93670868914256,2002.4777422177913,200.48624978308294,93.39531285357907,74.65866966077907,252.38538227550245,319.92763915108765,4683.793170598172,45.91866406124006,10.884964072220283
1475355742362515327,114.0,4.736198448394496,22.8,Entire home/apt,5,0,Pinzolo,22143,539.9286733478356,598.8651222175063,276.51795537252644,17424.52903030508,154.39446730242415,7354.881845235238,116.92365922261102,172.16574610487496,53.06822535745097,172.2104058880169,13693.802354356458,1426.3778511758082,46.15866396852517,10.766075731877116
1475459285230088400,87.0,4.465908118654584,43.5,Entire home/apt,2,2,Spiazzo,22179,6510.485177569126,288.28099360055876,1275.3575257609816,23356.13791788187,99.80319707019896,8573.431476000345,799.2605454216368,646.919994691589,657.8320055043116,797.8020381107686,10711.884853352914,561.4900537653323,46.1077444627395,10.73992369433955
1475510082690068992,550.0,6.309918278226516,91.66666666666667,Entire home/apt,6,0,Predazzo,22147,1996.3847614023093,137.15032110253657,215.65117674605722,24097.292725527084,250.5987414089953,3235.4526060383823,80.35899303228814,52.7001868108147,132.32295476122277,220.48857720567096,22707.56807025016,304.98096248579645,46.3097714,11.6012619
1476085032794892774,123.0,4.812184355372417,30.75,Entire home/apt,4,0,Tenno,22191,14086.622643399816,528.9239377705944,1471.3290689677265,3836.969128819162,103.83258680329936,2668.943111593477,82.94622532892555,182.87963654293515,1169.0274150614096,84.86742445838767,232.7596982226779,1027.1272805026651,45.9191,10.83266
1476087502507914243,98.0,4.584967478670572,32.666666666666664,Entire home/apt,3,0,Trento,22205,450.22447852936574,363.5799368300673,344.6036656945921,573.2576375163272,134.26036829462106,976.1364229569489,210.30074292519828,21.115383202726388,28.504760645587908,141.84281404183108,125.05039120769203,131.6029692934763,46.0671255,11.1202584
1476228089557332577,100.0,4.605170185988092,25.0,Entire home/apt,4,0,Mezzana,22114,171.35834943237552,3257.1903052792522,1174.44314417098,867.805777459732,148.22340118619462,1203.6425041529558,747.2823448254009,73.41681697907275,570.0056325613981,827.975957387854,5808.245906653252,7311.603017182205,46.31558298473912,10.812342437959275
1476308651970889854,130.0,4.867534450455582,32.5,Entire home/apt,4,6,Ledro,22229,13906.301847143848,194.34030693594394,1510.9939737465745,4387.985679465598,115.97445005834557,5207.575103029286,828.266982875954,794.5407680714884,620.6862555428024,570.0183354718417,4380.635080921451,1393.8294314439281,45.870885,10.7830606
1476539032300697026,108.0,4.68213122712422,27.0,Entire home/apt,4,0,Cavalese,22050,1340.5082123251777,1536.7364454227024,544.11822609018,14236.936668757691,51.169861399803324,5492.070045994533,514.6817490401102,287.543869556775,440.5708809615514,604.6980610965455,12090.430951389166,479.92175192956677,46.29572,11.45625
