id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1212233370594458050,Dimora dell'Abete Rosso,585943763,Massimiliano,,Trentino,46.3664053,11.0336901,Entire home/apt,100,1,1,2024-08-17,0.22,2,360,1,IT022062B4X3EG3LTC
1212233689526560058,Dimora del Pino Mugo,585943763,Massimiliano,,Trentino,46.3664053,11.0336901,Entire home/apt,120,1,4,2024-09-15,0.84,2,38,4,IT022062B4X3EG3LTC
1212310152747762430,Casa Nila Natural Balance ACQUA,48346782,Daniela,,Trentino,46.14502,10.96731,Entire home/apt,177,1,3,2024-10-06,0.85,4,190,3,IT022120B476EP3CPZ
1212368632190461960,Eco del garda 203,568349005,Holidu,,Trentino,45.930241667586294,10.82024498374527,Entire home/apt,190,1,1,2024-08-25,0.23,39,363,1,IT022191B4C3NBOJK7
1212718874662083824,Ai Masetti di Tss - Nel verde,159453248,Gonzalo,,Trentino,46.04689,11.24815,Entire home/apt,112,2,4,2024-10-31,0.84,27,354,4,IT022139B4MYZ2MCVR
1212731103967343078,Appartamento Cantina Romanese 1,568349005,Holidu,,Trentino,46.01783265973789,11.296570188193922,Entire home/apt,94,1,1,2024-10-08,0.35,39,337,1,IT022104B5AMVAV67Z
1212752164110194496,Appartamento Criss,593253782,Stephanie,,Trentino,45.8882,10.85195,Entire home/apt,144,2,14,2024-11-10,2.78,1,88,14,IT022153C2QP74Z9E8
1212899958664746212,"Residence Panorama, splendida vista lago",7737133,Michela,,Trentino,45.8824,10.75388,Entire home/apt,,1,2,2024-08-10,0.40,16,0,2,IT022229C2LE877F9N
1212932325953711581,Le Origini - Exclusive apartment 2,593252052,Oscar,,"Trento, Trentino",46.0861629134172,11.160322151840012,Entire home/apt,331,2,0,,,1,361,0,IT022205C2PHDO7KYH
1212976282259826703,Appartement de caractère,440309548,Aurelien,,Trentino,46.43958190565509,11.021703444421291,Entire home/apt,,1,0,,,1,178,0,
1213017967139759983,rifugio viote,590320800,Fabrizio,,"Trento, Trentino",46.0233231,11.0377235,Private room,121,1,0,,,1,104,0,IT022205B8KQTEM2WN
